[LOG] 659 records @25Hz  t_ms,alt,zt,vz,thr,tof,vbat,m1,m2,m3,m4,flags,ce,fx,fy
2840,0,-999,-4,30637,2,348,28111,25741,32539,36157,1,572,0,0
2880,0,-999,-4,30682,2,346,36763,37669,27621,20675,1,572,0,0
2920,0,-999,-5,30716,2,346,27820,38160,32880,24004,1,572,0,0
2960,0,-999,-5,30736,2,345,38701,9631,48163,26449,1,572,0,0
3000,0,-999,-5,30797,2,345,34331,46697,29975,12185,1,572,0,0
3040,0,-999,-5,30829,2,345,22347,28221,42719,30029,1,572,0,0
3080,0,-999,-4,30846,2,343,26119,34337,32727,30201,1,572,0,0
3120,0,-999,-4,30869,2,343,32393,26385,31523,33175,1,572,0,0
3160,0,-999,-4,30884,2,341,27609,29377,36099,30451,1,572,0,0
3200,0,-999,-4,30884,2,341,27320,20598,37228,38390,1,572,0,0
3240,0,-999,-4,30889,2,341,28792,30058,36016,28690,1,572,0,0
3280,0,-999,-4,30908,2,339,34949,25781,29243,33659,1,572,0,0
3320,0,-999,-4,30912,2,339,24695,33713,38715,26525,1,572,0,0
3360,0,-999,-4,30913,2,339,37532,30920,27852,27348,1,572,0,0
3380,-1,-999,-4,30904,2,339,31262,25906,36000,30448,1,572,0,0
3420,-1,-999,-4,30887,2,339,32694,33480,30712,26662,1,572,0,0
3460,-1,-999,-4,30869,2,338,33385,32057,30869,27165,1,572,0,0
3500,-1,-999,-4,30842,2,338,24639,24793,40059,33877,1,577,0,0
3540,-1,-999,-4,30817,2,338,31736,27474,33456,30602,1,581,0,0
3580,-1,-999,-4,30802,2,338,27877,24947,35799,34585,1,582,0,0
3620,-1,-999,-4,30804,2,338,25139,23161,39421,35495,1,582,0,0
3660,-1,-999,-4,30787,2,337,32435,30437,31541,28735,1,582,0,0
3700,-1,-999,-4,30757,2,337,30393,30639,33997,27999,1,582,0,0
3740,-1,-999,-4,30726,2,337,22057,20361,40267,40219,1,582,0,0
3780,-1,-999,-4,30722,2,337,29645,22911,34859,35473,1,582,0,0
3820,-1,-999,-4,30708,2,337,30696,28656,34736,28744,1,582,0,0
3860,-1,-999,-4,30714,2,336,28803,26967,34671,32415,1,582,0,0
3900,-1,-999,-4,30699,2,336,29291,23917,35637,33951,1,582,0,0
3940,-1,-999,-4,30707,2,336,27969,27181,34587,33091,1,582,0,0
3980,-1,-999,-5,30714,2,336,31203,31047,29713,30893,1,582,0,0
4020,-1,-999,-5,30717,2,336,27283,25395,34651,35539,1,582,0,0
4060,-1,-999,-6,30718,2,335,27354,25296,36694,33528,1,582,0,0
4100,-2,-999,-6,30708,2,335,26489,28307,35121,32915,1,582,0,0
4140,-2,-999,-7,30718,2,335,4830,3954,59306,54782,1,582,0,0
4180,-2,-999,-7,30714,231,335,43017,38001,22305,19533,1,582,0,0
4200,-2,-999,-8,30724,231,335,18353,20037,43517,40989,1,582,0,0
4240,-3,-999,-8,30720,231,334,37678,35098,30460,19644,1,582,0,0
4280,-3,-999,-8,30732,231,334,23807,29519,34609,34993,1,582,0,0
4320,-4,-999,-9,30726,231,334,29824,28946,35056,29078,1,582,0,0
4360,-4,-999,-9,30710,231,334,32630,29060,33712,27438,1,582,0,0
4400,-5,-999,-9,30720,231,334,30958,33574,31768,26580,1,582,0,0
4440,-5,-999,-10,30726,231,334,25812,22402,37874,36816,1,582,0,0
4480,-6,-999,-10,30722,231,334,27243,26791,38259,30595,1,582,0,0
4520,-6,-999,-10,30727,231,334,28163,23745,36017,34983,1,582,0,0
4560,-7,-999,-11,30730,231,334,28713,29091,36857,28259,1,582,0,0
4600,-7,-999,-11,30726,231,334,26155,20055,38545,38149,1,582,0,0
4640,-8,-999,-12,30730,231,334,25461,21927,40787,34745,1,582,0,0
4680,-8,-999,-12,30725,231,333,33129,33717,32799,23255,1,582,0,0
4720,-9,-999,-12,30731,231,333,32948,30212,33292,26472,1,582,0,0
4760,-9,-999,-12,30720,231,333,31185,30075,32651,28969,1,582,0,0
4800,-10,-999,-12,30715,231,333,27777,30915,37717,26451,1,582,0,0
4840,-10,-999,-12,30708,231,333,33051,23313,31737,34731,1,582,0,0
4880,-11,-999,-12,30675,231,332,23584,23136,42230,33750,1,584,0,0
4920,-11,-999,-12,30648,231,332,33555,31221,32925,24891,1,593,0,0
4960,-11,-999,-12,30634,231,332,32899,26033,34681,28923,1,602,0,0
5000,-12,-999,-12,30605,231,332,22276,20902,42792,36450,1,603,0,0
5020,-12,-999,-12,30616,231,332,33128,30548,32004,26784,1,605,0,0
5060,-12,-999,-12,30600,231,332,33179,27859,31281,30081,1,607,0,0
5100,-12,-999,-12,30580,231,332,23077,31849,38697,28697,1,612,0,0
5140,-12,-999,-12,30597,231,331,30306,24556,34176,33350,1,614,0,0
5180,-12,-999,-12,30613,231,331,19124,23628,40210,39490,1,615,0,0
5220,-12,-999,-12,30619,231,331,31959,28857,34375,27285,1,615,0,0
5260,-12,-999,-11,30601,231,331,29641,28273,35575,28915,1,619,0,0
5300,-11,-999,-11,30597,231,331,28043,27787,35485,31073,1,619,0,0
5340,-11,-999,-11,30602,231,331,27499,25507,36023,33379,1,620,0,0
5380,-11,-999,-11,30604,231,331,33599,34161,31655,23001,1,620,0,0
5420,-11,-999,-11,30586,231,331,29416,26576,34992,31360,1,628,0,-1
5460,-10,-999,-11,30574,231,331,29897,29193,34739,28467,1,630,0,-2
5500,-10,-999,-11,30580,231,331,26218,22568,37792,35742,1,634,0,-3
5540,-10,-999,-11,30578,231,330,31151,33877,31565,25719,1,636,0,-5
5580,-10,-999,-12,30585,231,330,35208,29010,32384,25738,1,647,0,-7
5620,-10,-999,-12,30574,231,330,32323,31915,32221,25837,1,651,0,-8
5660,-10,-999,-13,30590,231,330,27698,22598,38698,33366,1,658,0,-10
5700,-10,-999,-13,30567,231,330,34014,31088,32778,24388,1,662,0,-11
5740,-10,-999,-14,30561,231,330,27197,26075,34657,34315,1,665,0,-13
5780,-11,-999,-14,30571,231,330,30787,24391,37453,29653,1,665,0,-14
5820,-11,-999,-14,30585,231,330,34787,33709,31519,22325,1,665,0,-16
5860,-11,-999,-14,30582,231,330,31609,25013,34549,31157,1,665,0,-18
5880,-11,-999,-14,30590,231,330,37198,32816,33170,19176,1,665,0,-19
5920,-11,-999,-14,30593,231,330,24150,22856,39292,36074,1,665,0,-22
5960,-11,-999,-14,30593,231,330,36278,36634,27404,22056,1,665,0,-26
6000,-11,-999,-14,30593,231,330,32397,29349,33265,27361,1,665,0,-30
6040,-11,-999,-14,30605,231,329,27230,28656,35554,30980,1,665,0,-34
6080,-11,-999,-14,30594,231,329,25854,20656,40448,35418,1,665,0,-38
6120,-11,-999,-14,30594,231,329,24155,27673,38203,32345,1,665,0,-41
6160,-12,-999,-14,30597,231,328,28520,23240,35662,34966,1,665,0,-46
6200,-12,-999,-14,30597,231,328,24937,23891,38899,34661,1,665,0,-50
6240,-12,-999,-14,30598,231,328,20675,19227,41189,41301,1,665,0,-55
6280,-11,-999,-13,30603,231,328,27020,26026,35218,34148,1,665,0,-60
6320,-11,-999,-13,30604,231,328,33163,31087,32077,26089,1,665,0,-65
6360,-11,-999,-13,30602,231,328,26197,28819,36929,30463,1,665,-1,-71
6400,-11,-999,-13,30621,231,328,31311,29067,34199,27907,1,665,-1,-78
6440,-11,-999,-13,30639,231,328,27249,29515,34721,31071,1,665,-2,-85
6480,-10,-999,-13,30647,231,328,29965,26569,36617,29437,1,665,-2,-92
6520,-10,-999,-13,30659,231,328,27381,26905,36951,31399,1,665,-3,-96
6560,-10,-999,-13,30670,231,328,32929,28743,32743,28265,1,665,-4,-99
6600,-10,-999,-13,30660,231,328,26922,30522,35490,29706,1,665,-5,-100
6640,-9,-999,-13,30665,231,328,22529,18693,42361,39077,1,665,-4,-100
6680,-9,-999,-13,30669,231,328,24070,20292,41612,36702,1,665,-5,-100
6700,-9,-999,-13,30663,231,328,32287,33233,32989,24143,1,665,-5,-97
6740,-9,-999,-12,30657,231,328,26601,25989,38661,31377,1,665,-6,-93
6780,-9,-999,-13,30635,231,328,34507,27561,31547,28925,1,665,-7,-85
6820,-8,-999,-13,30606,231,328,25557,27819,38459,30589,1,665,-8,-78
6860,-8,-999,-13,30583,231,327,34991,31167,29697,26477,1,665,-8,-70
6900,-8,-999,-13,30578,231,327,30656,27164,34630,29862,1,665,-8,-65
6940,-8,-999,-13,30584,231,327,29910,32370,35482,24574,1,665,-8,-64
6980,-8,-999,-13,30577,231,327,33877,31999,29077,27355,1,665,-8,-64
7020,-8,-999,-13,30572,231,327,27139,26983,36989,31177,1,665,-8,-63
7060,-7,-999,-13,30565,231,327,29079,27237,35143,30801,1,666,-8,-63
7100,-7,-999,-13,30548,231,327,23143,20281,42401,36367,1,668,-8,-63
7140,-7,-999,-13,30556,231,327,31240,33108,33022,24854,1,673,-8,-62
7180,-7,-999,-12,30548,231,327,29966,27984,36382,27860,1,684,-8,-62
7220,-6,-999,-12,30527,231,327,26259,26663,33971,35215,1,685,-8,-62
7260,-6,-999,-12,30530,231,327,30574,24660,38232,28654,1,695,-8,-61
7300,-6,-999,-11,30531,231,327,27502,28074,35108,31440,1,699,-8,-62
7340,-5,-999,-11,30501,231,327,31975,30349,35141,24539,1,699,-8,-62
7380,-5,-999,-11,30463,231,327,33774,28030,31868,28180,1,699,-8,-62
7420,-5,-999,-11,30441,231,327,30857,29737,35923,25247,1,699,-8,-62
7460,-4,-999,-11,30431,231,327,26731,26047,36999,31947,1,699,-8,-62
7500,-4,-999,-11,30445,231,327,29592,26300,38918,26970,1,699,-8,-61
7520,-4,-999,-11,30444,231,327,29046,25972,36428,30330,1,699,-8,-61
7560,-3,-999,-10,30430,231,327,22546,22828,43690,32656,1,699,-8,-61
7600,-3,-999,-10,30436,231,327,21199,18691,40027,41827,1,699,-8,-61
7640,-2,-999,-10,30431,231,327,32725,28437,33417,27145,1,699,-9,-59
7680,-2,-999,-9,30429,231,327,29174,29834,33198,29510,1,699,-9,-55
7720,-1,-999,-9,30438,231,327,25078,22658,38884,35132,1,699,-9,-53
7760,-1,-999,-9,30417,231,326,31630,30670,32522,26846,1,699,-9,-53
7800,-1,-999,-9,30402,231,326,21363,20577,42639,37029,1,699,-9,-52
